Date,Details,Debit,Credit,Balance
22/12/2017,POS20DEC VESTA  *VODA,20,,5787.1
18/12/2017,ATMD 17DEC UBLES38745,50,,5807.1
05/12/2017,ATMD 05DEC UBLES23545,40,,5857.1
29/11/2017,ATM27NOV D198AIB,40,,5897.1
21/11/2017,ATM17NOV D198AIB,20,,5937.1
08/11/2017,ATM06NOV D198AIB,20,,5957.1
31/10/2017,POS26OCT VODAFONE,149.99,,5977.1
24/10/2017,ATM20OCT D198AIB,20,,6127.09
09/10/2017,POS05OCT Amazon *Mktp,29.09,,6147.09
06/10/2017,POS03OCT PAYPAL *CRES,59.25,,6176.18
06/10/2017,POS04OCT PASSPORTONLI,105,,
06/10/2017,ATMD 06OCT TSB 990610,20,,
26/09/2017,POS24SEP PAYPAL *STEA,4.12,,6360.43
22/09/2017,POS20SEP AMAZON.UK PA,217.13,,6364.55
21/09/2017,POS19SEP DUBLIN INST,3000,,6581.68
18/09/2017,ATM14SEP D198AIB,20,,9581.68
08/09/2017,POS06SEP PP*HUMBLEBUN,8.68,,9601.68
